"","X","Month_Year","Mean_Temperature","state","observation_count_sum","presence_count","observation_per_min_avg","common_name","obs_per_min_log10","Month","Year","Season"
"155",20,2011-08-01,65.6202258064516,"Maine",682,76,0.11983656686383,"Red-Winged Blackbird",-0.921410641345639,8,2011,3
"156",21,2011-09-01,59.9234418604651,"Maine",84,21,0.0841965156250871,"Red-Winged Blackbird",-1.0747058809007,9,2011,4
"157",22,2011-10-01,48.4621198156682,"Maine",577,60,0.153873466432992,"Red-Winged Blackbird",-0.812836262398616,10,2011,4
"158",23,2011-11-01,39.5659285714286,"Maine",981,37,0.401507608901752,"Red-Winged Blackbird",-0.396306220067162,11,2011,4
"159",24,2011-12-01,27.0168421052632,"Maine",0,0,0,"Red-Winged Blackbird",-Inf,12,2011,1
"160",25,2012-01-01,19.3785314091681,"Maine",2,2,0.00330687830687831,"Red-Winged Blackbird",-2.48058178682917,1,2012,1
"161",26,2012-02-01,22.746497277677,"Maine",146,25,0.189808565438754,"Red-Winged Blackbird",-0.72168419317927,2,2012,1
"162",27,2012-03-01,34.9326036866359,"Maine",4784,350,0.34187906791718,"Red-Winged Blackbird",-0.466127488751091,3,2012,2
"163",28,2012-04-01,43.0157073170732,"Maine",3054,529,0.193577225416688,"Red-Winged Blackbird",-0.713145739267675,4,2012,2
"164",29,2012-05-01,54.5073306451613,"Maine",4344,796,0.128299160903286,"Red-Winged Blackbird",-0.891776183970077,5,2012,2
"165",30,2012-06-01,60.9658108108108,"Maine",2782,519,0.115975383875014,"Red-Winged Blackbird",-0.935634181305222,6,2012,3
"166",31,2012-07-01,68.579331797235,"Maine",1495,308,0.0887358580050263,"Red-Winged Blackbird",-1.05190084705899,7,2012,3
"167",32,2012-08-01,68.1135161290322,"Maine",754,136,0.0903256112859328,"Red-Winged Blackbird",-1.04418909062671,8,2012,3
"168",33,2012-09-01,56.7582142857143,"Maine",216,37,0.13681789350907,"Red-Winged Blackbird",-0.863857100393194,9,2012,4
"169",34,2012-10-01,48.9037419354839,"Maine",1304,52,0.729954496213956,"Red-Winged Blackbird",-0.136704212015343,10,2012,4
"170",35,2012-11-01,33.6533846153846,"Maine",414,49,0.122192993430414,"Red-Winged Blackbird",-0.912953695908089,11,2012,4
"171",36,2012-12-01,25.5376370967742,"Maine",6,3,0.0497685185185185,"Red-Winged Blackbird",-1.30304528689931,12,2012,1
"172",37,2013-01-01,17.0768528717545,"Maine",3,2,0.0177902621722846,"Red-Winged Blackbird",-1.74981765173971,1,2013,1
"173",38,2013-02-01,20.7824642857143,"Maine",1,1,0.333333333333333,"Red-Winged Blackbird",-0.477121254719662,2,2013,1
"174",39,2013-03-01,30.9513690007868,"Maine",2154,210,0.524880114162583,"Red-Winged Blackbird",-0.279939880790738,3,2013,2
"175",40,2013-04-01,39.8869302325581,"Maine",5221,687,0.221672610019783,"Red-Winged Blackbird",-0.654287965217191,4,2013,2
"176",41,2013-05-01,52.925,"Maine",7008,1121,0.166029506061423,"Red-Winged Blackbird",-0.779814724122971,5,2013,2
"177",42,2013-06-01,62.0773720930233,"Maine",3272,565,0.131506395919809,"Red-Winged Blackbird",-0.881053124397566,6,2013,3
"178",43,2013-07-01,69.2544767899292,"Maine",2455,372,0.144297250067239,"Red-Winged Blackbird",-0.840741945358367,7,2013,3
"179",44,2013-08-01,64.5759638080252,"Maine",1805,83,0.226213394619425,"Red-Winged Blackbird",-0.645481683066289,8,2013,3
"180",45,2013-09-01,57.6220769230769,"Maine",284,41,0.0972802980742443,"Red-Winged Blackbird",-1.01197510735792,9,2013,4
"181",46,2013-10-01,48.2460887096774,"Maine",2019,78,0.639103843884162,"Red-Winged Blackbird",-0.194428570383442,10,2013,4
"182",47,2013-11-01,33.1760714285714,"Maine",356,49,0.162403591367692,"Red-Winged Blackbird",-0.789404371068209,11,2013,4
"183",48,2013-12-01,18.2054753820034,"Maine",29,9,0.196814615780133,"Red-Winged Blackbird",-0.705942653277824,12,2013,1
"184",49,2014-01-01,15.470590086546,"Maine",1,1,0.25,"Red-Winged Blackbird",-0.602059991327962,1,2014,1
"185",50,2014-02-01,16.5066836734694,"Maine",1,1,0.0166666666666667,"Red-Winged Blackbird",-1.77815125038364,2,2014,1
"186",51,2014-03-01,19.2671597167585,"Maine",1408,174,0.43664609600558,"Red-Winged Blackbird",-0.359870418457102,3,2014,2
"187",52,2014-04-01,39.6270909090909,"Maine",9177,1046,0.302326448653172,"Red-Winged Blackbird",-0.519523857447819,4,2014,2
"188",53,2014-05-01,52.5377569392348,"Maine",9147,1550,0.147496262878493,"Red-Winged Blackbird",-0.831218983291309,5,2014,2
"189",54,2014-06-01,62.2777142857143,"Maine",3770,635,0.1291410065463,"Red-Winged Blackbird",-0.888935832954182,6,2014,3
"190",55,2014-07-01,68.2382670667667,"Maine",3470,442,0.153382810504947,"Red-Winged Blackbird",-0.814223308712644,7,2014,3
"191",56,2014-08-01,65.211797235023,"Maine",2977,197,0.297644724700156,"Red-Winged Blackbird",-0.526301810252879,8,2014,3
"192",57,2014-09-01,57.2814186046512,"Maine",474,56,0.216040048728188,"Red-Winged Blackbird",-0.665465733434998,9,2014,4
"193",58,2014-10-01,49.3377944486122,"Maine",16905,91,8.37964977542652,"Red-Winged Blackbird",0.923225867821429,10,2014,4
"194",59,2014-11-01,32.7658780487805,"Maine",968,75,0.178171951816432,"Red-Winged Blackbird",-0.749160662420877,11,2014,4
"195",60,2014-12-01,27.1457373271889,"Maine",56,9,0.0723884140550807,"Red-Winged Blackbird",-1.14033093814807,12,2014,1
"196",61,2015-01-01,12.4939170506913,"Maine",3,3,0.00616039426523297,"Red-Winged Blackbird",-2.21039149209926,1,2015,1
"197",62,2015-02-01,5.96249169435216,"Maine",0,0,0,"Red-Winged Blackbird",-Inf,2,2015,1
"198",63,2015-03-01,22.2273878835563,"Maine",1459,167,0.284775639808028,"Red-Winged Blackbird",-0.545497163734033,3,2015,2
"199",64,2015-04-01,38.6842857142857,"Maine",9993,1246,0.313722298482354,"Red-Winged Blackbird",-0.503454611797398,4,2015,2
"200",65,2015-05-01,56.8633870967742,"Maine",12752,1921,0.135510898278185,"Red-Winged Blackbird",-0.868025775846787,5,2015,2
"201",66,2015-06-01,58.5139302325581,"Maine",4889,827,0.211359269008566,"Red-Winged Blackbird",-0.674978701745516,6,2015,3
"202",67,2015-07-01,65.9032177419355,"Maine",5017,657,0.140768142080669,"Red-Winged Blackbird",-0.851495621359151,7,2015,3
"203",68,2015-08-01,67.913115656963,"Maine",3377,229,0.213944171347645,"Red-Winged Blackbird",-0.669699540851168,8,2015,3
"204",69,2015-09-01,62.7765714285714,"Maine",1431,77,0.337246826839121,"Red-Winged Blackbird",-0.472052127920678,9,2015,4
"205",70,2015-10-01,44.2750564516129,"Maine",2415,114,0.378041669061709,"Red-Winged Blackbird",-0.422460328082901,10,2015,4
"206",71,2015-11-01,37.836575,"Maine",1826,81,0.170508540664097,"Red-Winged Blackbird",-0.768253862592933,11,2015,4
"207",72,2015-12-01,31.8889170506912,"Maine",15,7,0.0329931972789116,"Red-Winged Blackbird",-1.48157559614591,12,2015,1
"208",73,2016-01-01,20.9273092053501,"Maine",8,7,0.0604910682221607,"Red-Winged Blackbird",-1.2183087461441,1,2016,1
"209",74,2016-02-01,22.4315915119363,"Maine",374,49,0.718554453796463,"Red-Winged Blackbird",-0.143540314395154,2,2016,1
"210",75,2016-03-01,30.3309216589862,"Maine",7548,885,0.500771031509363,"Red-Winged Blackbird",-0.300360802041063,3,2016,2
"211",76,2016-04-01,38.6413023255814,"Maine",7610,1280,0.189390287705037,"Red-Winged Blackbird",-0.722642296210573,4,2016,2
"212",77,2016-05-01,53.6062790697674,"Maine",15072,2316,0.138262188101358,"Red-Winged Blackbird",-0.859296574367905,5,2016,2
"213",78,2016-06-01,61.366625,"Maine",6977,1153,0.139152233014989,"Red-Winged Blackbird",-0.856509820028419,6,2016,3
"214",79,2016-07-01,68.0245086271568,"Maine",6243,788,0.142657423337821,"Red-Winged Blackbird",-0.845705624422107,7,2016,3
"215",80,2016-08-01,67.7109970674487,"Maine",3047,287,0.162574661407928,"Red-Winged Blackbird",-0.788947141818429,8,2016,3
"216",81,2016-09-01,60.2336976744186,"Maine",609,68,0.693306708263026,"Red-Winged Blackbird",-0.159074597655662,9,2016,4
"217",82,2016-10-01,47.6383945986497,"Maine",2888,95,1.08909813601542,"Red-Winged Blackbird",0.0370670147509322,10,2016,4
"218",83,2016-11-01,38.0006976744186,"Maine",493,60,0.151756038513498,"Red-Winged Blackbird",-0.818854018928721,11,2016,4
"219",84,2016-12-01,21.5899527930763,"Maine",17,11,0.0535518032305958,"Red-Winged Blackbird",-1.27122590074413,12,2016,1
"220",85,2017-01-01,22.7212903225807,"Maine",10,3,0.0947712418300654,"Red-Winged Blackbird",-1.02332342858262,1,2017,1
"221",86,2017-02-01,21.3239285714286,"Maine",1439,117,0.555243317796364,"Red-Winged Blackbird",-0.255516659365042,2,2017,1
"222",87,2017-03-01,23.2326209677419,"Maine",4503,520,0.442605498147407,"Red-Winged Blackbird",-0.353983195469202,3,2017,2
"223",88,2017-04-01,42.9486097560976,"Maine",13119,1837,0.197916887688135,"Red-Winged Blackbird",-0.703517147092968,4,2017,2
"224",89,2017-05-01,51.6045852534562,"Maine",16250,2562,0.14210126716194,"Red-Winged Blackbird",-0.847402049314019,5,2017,2
"225",90,2017-06-01,62.1273571428571,"Maine",8648,1334,0.136946016081348,"Red-Winged Blackbird",-0.863450597357104,6,2017,3
"226",91,2017-07-01,66.3199758064516,"Maine",6903,902,0.159467666814778,"Red-Winged Blackbird",-0.797327359925906,7,2017,3
"227",92,2017-08-01,64.4189722430608,"Maine",9756,423,0.518187433396271,"Red-Winged Blackbird",-0.28551312333173,8,2017,3
"228",93,2017-09-01,62.1059333333333,"Maine",3524,99,0.60605010960564,"Red-Winged Blackbird",-0.217491465890619,9,2017,4
"229",94,2017-10-01,52.8098759305211,"Maine",3014,149,0.705627657451894,"Red-Winged Blackbird",-0.151424405139077,10,2017,4
"230",95,2017-11-01,33.3577142857143,"Maine",1147,78,0.468867711908115,"Red-Winged Blackbird",-0.328949673473456,11,2017,4
